"人","Noun","公园里有很多(人)在散步。|这位(人)是我的中文老师。"
"家","Noun","下班以后，我马上回(家)休息。|我的(家)就在超市旁边。"
"老师","Noun","王(老师)教我们数学和科学。|他是学校里最受欢迎的(老师)。"
"学生","Noun","图书馆里有很多(学生)在看书。|这位(学生)学习非常刻苦。"
"书","Noun","我最近在读一本很有趣的(书)。|桌子上放着几本中文(书)。"
"水","Noun","口渴的时候，喝杯(水)很舒服。|运动后我们需要补充大量的(水)。"
"饭","Noun","你中午想吃什么(饭)？|妈妈做的(饭)总是最好吃的。"
"医生","Noun","生病了就要去医院看(医生)。|我的梦想是将来成为一名(医生)。"
"学校","Noun","我们的(学校)很大，环境也很美。|孩子们每天早上八点去(学校)。"
"公司","Noun","他在一家外贸(公司)工作了五年。|我明天要去(公司)参加面试。"
"时间","Noun","(时间)过得真快，转眼就毕业了。|我现在没有(时间)陪你去逛街。"
"钱","Noun","买这件衬衫花了我很多(钱)。|他的钱包里只有一点儿(钱)。"
"朋友","Noun","周末我和(朋友)一起去打球。|他是我最好的(朋友)，我们从小就认识。"
"手机","Noun","我的(手机)坏了，需要去修理。|现在的人们都离不开(手机)。"
"天气","Noun","今天的(天气)很好，阳光明媚。|你出门前看看(天气)预报了吗？"
"衣服","Noun","他在商店里买了几件新(衣服)。|冬天的(衣服)通常比较厚。"
"电影","Noun","你昨天看的那个(电影)好看吗？|我们打算今晚去电影院看(电影)。"
"名字","Noun","请在纸上写下你的(名字)。|这个地方的(名字)我不太记得了。"
"咖啡","Noun","我每天早上都要喝一杯(咖啡)。|这家店的(咖啡)味道非常浓郁。"
"城市","Noun","上海是一个非常现代化的(城市)。|我喜欢住在安静的小(城市)里。"
"是","Verb","我(是)一名学生，在上海读书。|他们(是)我的好朋友，我们认识很久了。"
"有","Verb","桌子上(有)一本汉语字典。|我(有)一个哥哥和一个姐姐。"
"去","Verb","周末我们打算(去)公园野餐。|他已经(去)公司上班了。"
"吃","Verb","你中午想(吃)中国菜还是西餐？|我最喜欢(吃)妈妈做的红烧肉。"
"喝","Verb","医生建议每天要(喝)足够的水。|我不喜欢(喝)咖啡，我更喜欢喝茶。"
"看","Verb","我喜欢在晚上(看)一会儿电视。|你(看)见我的钥匙放在哪里了吗？"
"听","Verb","他在房间里(听)流行音乐。|老师说的话你都(听)懂了吗？"
"说","Verb","请你慢慢(说)，我的汉语不太好。|他刚才(说)的话非常有道理。"
"写","Verb","我每天都会(写)日记来练习汉语。|请在信封上(写)清楚收件人的地址。"
"读","Verb","由于每天坚持(读)报纸，他的词汇量很大。|这篇课文请大家大声(读)一遍。"
"做","Verb","你周末通常在家(做)什么？|我打算亲手(做)一个蛋糕送给妈妈。"
"买","Verb","我今天在超市(买)了很多水果。|他想(买)一辆新的自行车。"
"卖","Verb","这家商店(卖)的衣服质量非常好。|老王把旧车(卖)给了他的邻居。"
"坐","Verb","我们(坐)地铁去机场比较方便。|请(坐)在沙发上休息一会儿。"
"住","Verb","我(住)在学校附近的公寓里。|你打算在那个城市(住)多久？"
"叫","Verb","我的名字(叫)王小明。|他在楼下大声(叫)我的名字。"
"想","Verb","我今天太累了，(想)早点儿睡觉。|我很(想)去北京看看万里长城。"
"喜欢","Verb","我非常(喜欢)运动，尤其是踢足球。|你不(喜欢)这个颜色吗？"
"认识","Verb","很高兴(认识)你，希望以后多联系。|我并不(认识)那位穿黑衣服的人。"
"学习","Verb","他在努力(学习)汉语，为了去中国留学。|我们应该向他(学习)刻苦钻研的精神。"
"大","Adjective","这个西瓜很(大)，我们一家人都吃不完。|他住在一个非常(大)的城市里。"
"小","Adjective","那只(小)猫正在椅子下面睡觉。|这件衣服对我来说有点儿(小)了。"
"好","Adjective","今天天气很(好)，我们去公园吧。|他是一个(好)学生，老师们都很喜欢他。"
"多","Adjective","超市里有很(多)人正在排队买单。|他的书架上有非常(多)的中文书。"
"少","Adjective","杯子里只剩(少)量的水了。|今天来参加会议的人比平时(少)。"
"长","Adjective","这条路很(长)，我们要走很久才能到。|姐姐有一头(长)发，看起来很漂亮。"
"高","Adjective","那座山非常(高)，山顶上还有雪。|他比去年(高)了很多，已经一米八了。"
"新","Adjective","这是我买的(新)手机，功能非常多。|新年的时候，孩子们都会穿上(新)衣服。"
"旧","Adjective","这件毛衣已经很(旧)了，但我还是舍不得扔。|他住在学校附近的一栋(旧)房子里。"
"贵","Adjective","这家店的苹果太(贵)了，要十块钱一个。|名牌包虽然很(贵)，但质量通常很好。"
"便宜","Adjective","夏天的西瓜很(便宜)，我们可以多买点。|由于打折，我买到了非常(便宜)的衣服。"
"冷","Adjective","冬天的北方非常(冷)，到处都是冰雪。|这杯咖啡已经(冷)了，我去帮你换一杯。"
"热","Adjective","今天的气温很高，天气非常(热)。|请喝杯(热)茶，暖暖身体吧。"
"快","Adjective","高铁的速度非常(快)，几个小时就能到北京。|他走路很(快)，我总是跟不上他。"
"慢","Adjective","奶奶走路比较(慢)，请等一等她。|吃饭要细嚼慢咽，吃得太(慢)也不是坏事。"
"远","Adjective","我家离公司很(远)，每天要坐一小时车。|超市就在附近，一点儿也不(远)。"
"近","Adjective","学校离我家很(近)，走路只要五分钟。|暑假到了，回家的日子越来越(近)了。"
"累","Adjective","工作了一整天，我觉得非常(累)。|爬山虽然很(累)，但山上的风景很美。"
"忙","Adjective","爸爸最近工作很(忙)，经常加班。|你今天在(忙)什么呢？连电话都没接。"
"漂亮","Adjective","公园里的花开得非常(漂亮)。|她今天穿了一件很(漂亮)的连衣裙。"
"很","Adverb","今天的天气(很)好，适合去郊游。|这个汉语语法点(很)难，我还没听懂。"
"非常","Adverb","他听到了这个消息，感到(非常)高兴。|这家饭馆的菜(非常)好吃，人总是很多。"
"太","Adverb","这件衬衫的颜色(太)深了，我不喜欢。|时间已经(太)晚了，我们该回家了。"
"都","Adverb","我们班的学生(都)来自不同的国家。|这些水果(都)已经洗干净了，你可以吃。"
"也","Adverb","他喜欢打篮球，我(也)喜欢打篮球。|如果你不去参加聚会，我(也)不去。"
"只","Adverb","书包里(只)有一本书和一支笔。|我(只)喝白开水，不喝任何碳酸饮料。"
"再","Adverb","请你(再)说一遍，我刚才没听清楚。|虽然失败了，但我还是想(再)试一次。"
"又","Adverb","今天(又)下雨了，我没法去公园跑步。|那个孩子说着说着(又)哭了起来。"
"已经","Adverb","他(已经)离开公司回老家发展了。|我到达车站的时候，火车(已经)开走了。"
"正","Adverb","我回家的时候，妈妈(正)在厨房做饭。|大家(正)在开会，请你等一会儿再进去。"
"也","Adverb","爸爸在看报纸，妈妈(也)在看报纸。|他不吃肉，(也)不吃鸡蛋。"
"一起","Adverb","周末我们(一起)去电影院看新出的电影吧。|请大家把这些桌子(一起)搬到隔壁教室。"
"最","Adverb","在所有水果中，我(最)喜欢吃西瓜。|这是我今年听到的(最)好听的一首歌。"
"经常","Adverb","他(经常)去图书馆借阅关于历史的书籍。|由于工作需要，王经理(经常)去国外出差。"
"真","Adverb","长城(真)宏伟，不愧是世界奇迹之一。|你说的话(真)有道理，我非常赞同。"
"才","Adverb","现在(才)六点，天还没亮呢。|他学了三个月(才)学会骑自行车。"
"就","Adverb","你等我一下，我马上(就)准备好了。|如果明天不下雨，我们(就)去爬山。"
"快","Adverb","天阴了，看样子(快)要下雨了。|电影(快)要开始了，我们赶紧进场吧。"
"先","Adverb","你应该(先)写完作业，然后再去看电视。|我们(先)去吃饭，然后再去商场逛逛。"
"常","Adverb","我们要(常)回家看看父母，陪他们聊聊天。|这个地方夏天(常)下阵雨，出门记得带伞。"