"학교","Noun","아침마다 학생들은 (학교)에 공부하러 갑니다.|우리 (학교)는 건물이 매우 크고 아름다워요."
"음식","Noun","한국 (음식) 중에서 비빔밥을 가장 좋아해요.|이 식당은 (음식)이 정말 맛있고 서비스도 좋아요."
"친구","Noun","주말에 (친구)를 만나서 같이 영화를 봤어요.|제 제일 친한 (친구)는 성격이 아주 밝아요."
"사과","Noun","시장에서 빨간 (사과)를 다섯 개 샀어요.|아침에 먹는 (사과)는 건강에 아주 좋다고 해요."
"가족","Noun","우리 (가족)은 모두 네 명으로 부모님과 형이 있어요.|이번 추석에는 (가족)들이 모두 모여서 식사를 했어요."
"공부","Noun","도서관에서 시험 (공부)를 하느라 밤을 새웠어요.|한국어 (공부)가 처음에는 어렵지만 재미있어요."
"날씨","Noun","오늘 (날씨)가 너무 추워서 코트를 입어야 해요.|제주도는 (날씨)가 맑을 때 바다가 정말 예뻐요."
"물","Noun","목이 너무 말라서 시원한 (물)을 한 잔 마셨어요.|생존을 위해서 사람은 매일 (물)을 충분히 마셔야 해요."
"책","Noun","잠자기 전에 침대에서 (책)을 읽는 습관이 있어요.|가방 안에 국어 (책)과 수학 익힘책이 들어 있어요."
"집","Noun","학교 수업이 끝나면 바로 (집)으로 돌아가요.|우리 (집)은 지하철역에서 걸어서 5분 거리예요."
"전화","Noun","중요한 (전화)가 와서 잠시 밖으로 나갔어요.|어제 밤늦게 친구에게서 (전화)를 받았어요."
"시계","Noun","벽에 걸린 (시계)를 보니 벌써 점심시간이에요.|손목 (시계)가 고장 나서 시간을 확인할 수 없어요."
"이름","Noun","처음 만난 사람에게 제 (이름)을 소개했어요.|이 강아지의 (이름)은 '초코'라고 합니다."
"선생님","Noun","수업 시간에 (선생님)의 설명을 열심히 들었어요.|우리 (선생님)은 학생들에게 항상 친절하세요."
"회사","Noun","아버지는 매일 아침 8시에 (회사)에 출근하세요.|이 (회사)는 서울 강남구에 위치하고 있어요."
"안경","Noun","시력이 나빠서 책을 볼 때는 (안경)을 써야 해요.|어디에 (안경)을 두었는지 기억이 나지 않아요."
"우산","Noun","밖애 비가 오니까 (우산)을 꼭 챙겨서 나가세요.|바람이 너무 세게 불어서 (우산)이 뒤집어졌어요."
"노래","Noun","기분이 좋을 때는 즐거운 (노래)를 불러요.|방탄소년단은 전 세계적으로 유명한 (노래)가 많아요."
"커피","Noun","식사 후에 카페에서 따뜻한 (커피)를 마셨어요.|잠을 깨기 위해서 진한 (커피) 한 잔이 필요해요."
"영화","Noun","어제 영화관에서 새로 개봉한 (영화)를 봤어요.|이 (영화)는 줄거리가 감동적이라서 눈물이 났어요."
"가다","Verb","저는 내일 친구와 함께 도서관에 (가요).|어제는 비가 와서 공원에 (가지) 않았어요."
"오다","Verb","지금 밖에는 하얀 눈이 많이 (오고) 있어요.|집에 (올) 때 마트에 들러서 우유 좀 사다 주세요."
"먹다","Verb","한국 사람들은 매일 김치를 (먹습니다).|점심을 너무 많이 (먹어서) 배가 불러요."
"마시다","Verb","아침에 일어나자마자 시원한 물을 (마셔요).|어제 카페에서 친구와 따뜻한 차를 (마셨어요)."
"자다","Verb","어제 피곤해서 저녁 일찍 (잤어요).|아기가 방에서 새근새근 (자고) 있으니 조용히 해 주세요."
"하다","Verb","매일 아침 공원에서 30분 동안 운동을 (해요).|숙제를 다 (한) 다음에 게임을 할 거예요."
"보다","Verb","주말에 가족들과 재미있는 영화를 (봤어요).|지금 거실에서 텔레비전을 (보고) 계시는 분은 우리 아버지예요."
"듣다","Verb","방에서 좋아하는 음악을 (듣고) 있어요.|선생님 말씀을 잘 (들어야) 공부를 잘할 수 있어요."
"읽다","Verb","잠자기 전에 아이에게 동화책을 (읽어) 주었어요.|이 잡지는 내용이 유익해서 자주 (읽습니다)."
"쓰다","Verb","종이에 연필로 제 이름을 (썼어요).|친구에게 보내는 편지를 정성껏 (쓰고) 있습니다."
"만나다","Verb","오랜만에 고등학교 동창을 (만나서) 반가웠어요.|내일 오후에 백화점 앞에서 (만납시다)."
"사다","Verb","시장에서 싱싱한 사과와 포도를 (샀어요).|돈을 많이 모아서 나중에 꼭 좋은 차를 (살) 거예요."
"공부하다","Verb","시험 기간이라서 도서관에서 밤늦게까지 (공부했어요).|한국어를 열심히 (공부해서) 한국 여행을 가고 싶어요."
"일하다","Verb","우리 형은 작년부터 무역 회사에서 (일해요).|어제는 일이 너무 많아서 늦게까지 (일했습니다)."
"말하다","Verb","자신의 의견을 솔직하게 (말하는) 것이 중요해요.|그 비밀을 아무에게도 (말하지) 마세요."
"가르치다","Verb","선생님께서 학생들에게 수학을 (가르치십니다).|제가 당신에게 한국 요리 만드는 법을 (가르쳐) 줄게요."
"배우다","Verb","문화센터에서 기타를 (배우기) 시작했어요.|학교에서 역사를 (배우면서) 많은 것을 깨달았습니다."
"기다리다","Verb","정류장에서 10분 동안 버스를 (기다렸어요).|조금만 더 (기다려) 주시면 금방 준비해 드릴게요."
"웃다","Verb","아기의 재롱을 보고 부모님이 환하게 (웃으셨어요).|슬플 때보다 (웃을) 때가 더 건강에 좋다고 합니다."
"알다","Verb","혹시 이 근처에 맛있는 식당이 어디인지 (아세요)?|그 사람의 연락처를 몰라서 물어보고 (알게) 되었어요."
"크다","Adjective","이 신발은 저에게 너무 (커서) 걸을 때 불편해요.|새로 이사한 집이 생각보다 훨씬 (큽니다)."
"작다","Adjective","방이 너무 (작아서) 가구를 다 놓을 수가 없어요.|이 옷은 동생에게 (작은) 것 같아요."
"좋다","Adjective","오늘 날씨가 정말 (좋아서) 나들이 가기 딱이에요.|저는 성격이 (좋은) 사람과 친구가 되고 싶어요."
"나쁘다","Adjective","공기가 (나쁘니까) 외출할 때 마스크를 꼭 쓰세요.|거짓말을 하는 것은 (나쁜) 행동입니다."
"많다","Adjective","주말이라 그런지 백화점에 사람이 정말 (많아요).|우리 학교에는 외국인 학생이 (많은) 편이에요."
"적다","Adjective","냉장고에 우유가 조금밖에 (적게) 남지 않았어요.|이 식당은 양은 (적지만) 맛은 아주 훌륭해요."
"비싸다","Adjective","이 가방은 너무 (비싸서) 살 엄두가 안 나요.|물가가 올라서 채소 값이 예전보다 많이 (비싸졌어요)."
"싸다","Adjective","이 시장은 물건 값이 (싸고) 품질도 괜찮아요.|세일 기간이라 옷을 (싸게) 잘 샀어요."
"덥다","Adjective","여름에는 날씨가 너무 (더워서) 시원한 음료수를 찾게 돼요.|어제는 무척 (더웠는데) 오늘은 좀 시원하네요."
"춥다","Adjective","겨울에는 바람이 많이 불어서 날씨가 매우 (춥습니다).|날씨가 (추우니까) 옷을 따뜻하게 입고 나가세요."
"어렵다","Adjective","수학 시험 문제가 너무 (어려워서) 다 풀지 못했어요.|한국어 문법은 공부할수록 (어렵게) 느껴져요."
"쉽다","Adjective","이 책은 설명이 잘 되어 있어서 이해하기 (쉬워요).|시험이 생각보다 (쉬워서) 금방 끝냈어요."
"맛있다","Adjective","어머니가 만들어 주신 김치찌개는 정말 (맛있어요).|이 집은 빵이 (맛있기로) 유명한 빵집이에요."
"멀다","Adjective","집에서 회사까지 거리가 너무 (멀어서) 출퇴근이 힘들어요.|여기서 공항까지는 차로 가도 꽤 (멉니다)."
"가깝다","Adjective","우리 집은 지하철역에서 아주 (가까운) 곳에 있어요.|편의점이 (가까워서) 밤에도 물건을 사기 편해요."
"바쁘다","Adjective","요즘 회사 일이 너무 (바빠서) 친구를 만날 시간이 없어요.|연말이라 선생님은 항상 (바쁘십니다)."
"예쁘다","Adjective","공원에 꽃들이 아주 (예쁘게) 피어 있어요.|제 동생은 웃는 모습이 참 (예뻐요)."
"높다","Adjective","저 산은 너무 (높아서) 정상까지 올라가기 힘들어요.|우리나라는 교육 열기가 매우 (높은) 나라입니다."
"낮다","Adjective","천장이 (낮아서) 키가 큰 사람은 머리를 조심해야 해요.|이 의자는 너무 (낮으니까) 다른 의자에 앉으세요."
"길다","Adjective","겨울에는 밤이 낮보다 훨씬 (깁니다).|머리카락이 너무 (길어서) 조금 자르고 싶어요."
"빨리","Adverb","시간이 없으니까 어서 (빨리) 준비하세요.|그 선수는 다리가 아주 빨라서 정말 (빨리) 달립니다."
"천천히","Adverb","급한 일이 아니니까 (천천히) 걸어오셔도 돼요.|한국말을 아직 잘 못하니까 (천천히) 말씀해 주세요."
"아주","Adverb","오늘 점심에 먹은 비빔밥은 (아주) 맛있었어요.|제 친구는 노래를 (아주) 잘 불러서 가수가 되고 싶어 해요."
"가장","Adverb","저는 과일 중에서 수박을 (가장) 좋아해요.|우리 반에서 지수가 키가 (가장) 큽니다."
"많이","Adverb","어제 잠을 (많이) 못 자서 오늘 너무 피곤해요.|감기에 걸렸을 때는 따뜻한 물을 (많이) 마시는 게 좋아요."
"조금","Adverb","국이 약간 싱거우니까 소금을 (조금) 더 넣으세요.|한국어를 (조금) 할 줄 알지만 아직은 서툴러요."
"일찍","Adverb","내일은 중요한 회의가 있으니 (일찍) 출근해야 해요.|어제 저녁에는 피곤해서 (일찍) 잠자리에 들었습니다."
"늦게","Adverb","어젯밤에 영화를 보느라 잠을 (늦게) 잤어요.|차가 막혀서 약속 장소에 (늦게) 도착하고 말았습니다."
"자주","Adverb","도서관이 집 근처에 있어서 (자주) 가는 편이에요.|부모님께 안부 전화를 (자주) 드리려고 노력합니다."
"가끔","Adverb","평소에는 한식을 먹지만 (가끔) 피자를 주문해요.|(가끔) 혼자 공원을 산책하면 기분이 좋아집니다."
"항상","Adverb","그 친구는 얼굴에 (항상) 미소를 띠고 있어요.|저는 외출할 때 (항상) 가방에 지갑을 챙깁니다."
"전혀","Adverb","어제 너무 바빠서 밥을 (전혀) 먹지 못했어요.|그 이야기는 제가 (전혀) 모르는 내용입니다."
"갑자기","Adverb","맑은 하늘에서 (갑자기) 비가 내리기 시작했어요.|길을 가다가 (갑자기) 친구를 만나서 깜짝 놀랐어요."
"열심히","Adverb","장학금을 받기 위해서 이번 학기에도 (열심히) 공부해요.|그는 맡은 일을 항상 (열심히) 하는 성실한 사람입니다."
"함께","Adverb","이번 주말에 가족들과 (함께) 여행을 가기로 했어요.|모두 (함께) 힘을 모으면 이 문제를 해결할 수 있습니다."
"벌써","Adverb","공부를 시작한 지 한 시간이나 지났는데 (벌써) 배가 고파요.|약속 시간이 (벌써) 지났는데 친구가 아직 안 왔어요."
"벌떡","Adverb","아침에 알람 소리를 듣고 자리에서 (벌떡) 일어났어요.|버스가 오자 벤치에 앉아 있던 사람들이 (벌떡) 일어섰습니다."
"꼭","Adverb","내일은 잊지 말고 (꼭) 제시간에 오셔야 합니다.|성공하기 위해서는 이 기회를 (꼭) 잡아야 해요."
"별로","Adverb","배가 고프지 않아서 점심은 (별로) 먹고 싶지 않아요.|오늘 본 영화는 생각보다 (별로) 재미가 없었어요."
"방금","Adverb","(방금) 나갔으니까 아직 정류장에 있을 거예요.|그 소식은 저도 (방금) 뉴스를 보고 알았습니다."